SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,16 Merion Cir,Napa,CA,94558,1715000,3,3,,2348,29339,1969,,730,,,,,http://www.redfin.com/CA/Napa/16-Merion-Cir-94558/home/12219978,,,N,Y,38.3481634,-122.2545103
PAST SALE,February-16-2018,Single Family Residential,1225 Cayetano Dr,Napa,CA,94559,736000,4,3,Napa,2241,6774,2000,33,328,,Sold,,,http://www.redfin.com/CA/Napa/1225-Cayetano-Dr-94559/home/12220202,BAREIS,21716864,N,Y,38.2882413,-122.2634613
PAST SALE,February-12-2018,Single Family Residential,145 Maximilian Ct,Napa,CA,94558,1093925,4,4,Napa,3314,6678,2006,37,330,120,Sold,,,http://www.redfin.com/CA/Napa/145-Maximilian-Ct-94558/home/12224301,BAREIS,21720254,N,Y,38.3356664,-122.3106188
PAST SALE,,Single Family Residential,1520 E St,Napa,CA,94559,215000,,,,955,7708,1899,,225,,,,,http://www.redfin.com/CA/Napa/1520-E-St-94559/home/12186624,,,N,Y,38.304444,-122.2970429
PAST SALE,,Single Family Residential,161 Pickwick Dr,Napa,CA,94558,549000,4,2,,1199,6721,1955,,458,,,,,http://www.redfin.com/CA/Napa/161-Pickwick-Dr-94558/home/12189501,,,N,Y,38.2872366,-122.306699
PAST SALE,February-6-2018,Single Family Residential,2462 Butte St,Napa,CA,94558,530000,4,2,Napa,1396,7789,1956,43,380,,Sold,,,http://www.redfin.com/CA/Napa/2462-Butte-St-94558/home/12185291,BAREIS,21800204,N,Y,38.3081091,-122.3040636
PAST SALE,February-15-2018,Single Family Residential,,Napa,CA,94558,489000,2,1,,856,6059,1941,34,571,,Sold,,,http://www.redfin.com/CA/Napa/Undisclosed-address-94558/home/12188060,BAREIS,21800826,N,Y,38.2989543,-122.3115267
PAST SALE,February-15-2018,Single Family Residential,485 Randolph St,Napa,CA,94559,759000,2,2,Napa,806,3106,1935,34,942,,Sold,,,http://www.redfin.com/CA/Napa/485-Randolph-St-94559/home/12190437,BAREIS,21724438,N,Y,38.2934772,-122.2864889
PAST SALE,February-13-2018,Single Family Residential,3321 Stratford Ct,Napa,CA,94558,769000,3,2,Napa,2048,9116,1990,36,375,,Sold,,,http://www.redfin.com/CA/Napa/3321-Stratford-Ct-94558/home/12207214,BAREIS,21715785,N,Y,38.3111139,-122.328422
PAST SALE,February-16-2018,Single Family Residential,2789 Pine St,Napa,CA,94558,598000,3,1,Napa,1076,9540,1955,33,556,,Sold,,,http://www.redfin.com/CA/Napa/2789-Pine-St-94558/home/12188940,BAREIS,21800203,N,Y,38.2910344,-122.3079392
PAST SALE,February-16-2018,Single Family Residential,606 Seminary St,Napa,CA,94559,1049000,3,1.5,Napa,1457,4675,1925,33,720,,Sold,,,http://www.redfin.com/CA/Napa/606-Seminary-St-94559/home/12190166,BAREIS,21724276,N,Y,38.2939827,-122.2913729
PAST SALE,February-7-2018,Single Family Residential,2131 Hoffman Ln,Napa,CA,94558,2290869,2,2,Napa,1563,43560,2004,42,1466,,Sold,,,http://www.redfin.com/CA/Napa/2131-Hoffman-Ln-94558/home/12201298,BAREIS,21727458,N,Y,38.381974,-122.355164
PAST SALE,,Single Family Residential,2340 Main St,Napa,CA,94558,600000,4,2,,1742,8872,1952,,344,,,,,http://www.redfin.com/CA/Napa/2340-Main-St-94558/home/12185150,,,N,Y,38.3110826,-122.2936705
PAST SALE,February-15-2018,Single Family Residential,4245 Wine Country Ct,Napa,CA,94558,750000,4,3,Napa,2143,4050,2017,34,350,93,Sold,,,http://www.redfin.com/CA/Napa/4245-Wine-Country-Ave-94558/home/143292476,BAREIS,21728029,N,Y,38.328207,-122.3368251
PAST SALE,January-11-2018,Single Family Residential,2209 Marin St,Napa,CA,94559,515000,3,2,Napa,1422,7126,1995,69,362,,Sold,,,http://www.redfin.com/CA/Napa/2209-Marin-St-94559/home/12186390,BAREIS,21719119,N,Y,38.306517,-122.3003429
PAST SALE,,Single Family Residential,3683 Norfolk St,Napa,CA,94558,,4,2,,1216,6121,1959,,,,Sold,,,http://www.redfin.com/CA/Napa/3683-Norfolk-St-94558/home/12193196,BAREIS,,N,Y,38.3225176,-122.3190558
PAST SALE,January-9-2018,Single Family Residential,150 Dewitt Ave,Napa,CA,94558,425000,2,1,Napa,765,5584,1941,71,556,,Sold,,,http://www.redfin.com/CA/Napa/150-Dewitt-Ave-94558/home/12188052,BAREIS,21726445,N,Y,38.2985358,-122.3127668
PAST SALE,December-28-2017,Single Family Residential,62 Avalon Ct,Napa,CA,94558,549000,2,2.5,Napa,1239,3237,1993,83,443,190,Sold,,,http://www.redfin.com/CA/Napa/62-Avalon-Ct-94558/home/12205094,BAREIS,21727436,N,Y,38.3326104,-122.3177271
PAST SALE,January-23-2018,Single Family Residential,3213 PIEDMONT Ave,Napa,CA,94558,482975,3,2,Napa,1842,6020,1955,57,262,,Sold,,,http://www.redfin.com/CA/Napa/3213-Piedmont-Ave-94558/home/12185505,BAREIS,21703812,N,Y,38.3209757,-122.2973308
PAST SALE,March-14-2018,Single Family Residential,1193 London Way,Napa,CA,94559,529000,4,2,Napa,1613,6120,1954,7,328,,Sold,,,http://www.redfin.com/CA/Napa/1193-London-Way-94559/home/12212793,BAREIS,21801611,N,Y,38.2840066,-122.2644804
